mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219016663,Moored,0.0,357.4,262.0,HSC,6.0,21.0,2.1
265650970,Under way using engine,22.9,169.2,171.0,HSC,8.0,27.0,1.7
265650950,Under way using engine,7.7,166.1,167.0,HSC,8.0,27.0,2.1
219016873,Under way using engine,15.4,50.4,50.0,HSC,6.0,25.0,2.0
219016873,Under way using engine,15.6,55.7,56.0,HSC,6.0,25.0,2.0
219016873,Under way using engine,15.5,55.3,57.0,HSC,6.0,25.0,2.0
219016873,Under way using engine,15.3,57.2,56.0,HSC,6.0,25.0,2.0
219022903,Reserved for future amendment [HSC],19.8,119.5,118.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],20.4,121.1,120.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],37.0,120.3,120.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],35.4,115.4,115.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],37.5,115.7,114.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],37.5,104.2,103.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],38.0,103.6,103.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],38.5,103.3,102.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],37.4,101.8,101.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],35.4,102.0,101.0,HSC,31.0,109.0,3.2
219022903,Reserved for future amendment [HSC],37.6,102.2,102.0,HSC,31.0,109.0,3.2
219018172,Under way using engine,19.1,121.9,122.0,HSC,31.0,112.0,3.4
219022903,Reserved for future amendment [HSC],36.7,102.8,103.0,HSC,31.0,109.0,3.2
219018172,Under way using engine,23.8,121.5,122.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,36.0,121.0,122.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,36.1,115.2,116.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,37.2,115.6,116.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,37.1,103.7,104.0,HSC,31.0,112.0,3.4
219018172,Under way using engine,37.9,103.5,104.0,HSC,31.0,112.0,3.4
