mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
266286000,Under way using engine,8.5,300.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,8.0,320.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,8.6,320.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,9.6,326.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,8.8,325.0,,Law enforcement,16.0,81.0,5.7
266334000,Under way using engine,10.1,324.5,325.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,10.1,325.8,326.0,Law enforcement,12.0,49.0,4.0
266286000,Under way using engine,8.9,324.0,,Law enforcement,16.0,81.0,5.7
266334000,Under way using engine,9.9,328.2,329.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,10.0,327.4,329.0,Law enforcement,12.0,49.0,4.0
266286000,Under way using engine,8.0,329.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,8.0,330.0,,Law enforcement,16.0,81.0,5.7
266334000,Under way using engine,6.8,3.1,7.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,11.9,339.1,338.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,12.5,337.3,338.0,Law enforcement,12.0,49.0,4.0
266286000,Under way using engine,5.7,309.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,5.8,335.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,6.6,11.0,,Law enforcement,16.0,81.0,5.7
266286000,Under way using engine,6.8,22.0,,Law enforcement,16.0,81.0,5.7
266334000,Moored,0.0,324.9,27.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,3.3,325.4,325.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,10.6,193.5,194.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,10.3,166.0,170.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,4.5,172.2,179.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,12.8,150.2,154.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,12.4,149.7,151.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,12.6,143.0,144.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,12.7,143.6,144.0,Law enforcement,12.0,49.0,4.0
266334000,Under way using engine,12.7,144.0,144.0,Law enforcement,12.0,49.0,4.0
220068000,Under way using engine,19.1,335.4,336.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,19.4,337.4,341.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.0,3.4,3.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,19.3,27.8,28.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,11.3,285.4,286.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,6.6,97.6,99.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,22.5,49.7,53.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.8,287.7,287.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.6,306.7,306.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.8,84.8,85.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.8,84.8,83.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.7,86.8,85.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.6,337.6,340.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.9,321.8,323.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.9,322.1,325.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.1,281.5,281.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.1,281.1,280.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.2,92.4,91.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.2,91.9,94.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,22.1,43.1,45.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.6,44.0,44.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.3,43.9,43.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.7,343.3,343.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.7,15.4,15.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.4,23.7,24.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.9,40.0,42.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.3,65.3,68.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.5,25.5,24.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.2,24.4,24.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.6,30.0,30.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.6,29.9,31.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,22.0,44.6,47.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,21.5,352.0,353.0,Law enforcement,8.0,20.0,1.4
220068000,Under way using engine,20.4,242.9,243.0,Law enforcement,8.0,20.0,1.4
266334000,Moored,0.0,36.6,110.0,Law enforcement,12.0,49.0,4.0
