mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219002783,Moored,0.0,295.2,1.0,SAR,6.0,15.0,3.0
219203000,Moored,0.0,179.3,77.0,SAR,6.0,35.0,3.6
219171000,Under way using engine,0.0,218.8,78.0,SAR,5.0,19.0,3.3
219001306,Under way using engine,22.7,115.0,112.0,SAR,4.0,16.0,1.5
265797590,Under way using engine,34.0,310.9,311.0,SAR,4.0,14.0,1.2
219171000,Under way using engine,0.0,237.1,78.0,SAR,5.0,19.0,3.3
219203000,Moored,0.0,227.6,77.0,SAR,6.0,35.0,3.6
265759020,Unknown value,4.9,257.9,244.0,SAR,4.0,11.0,0.9
265759020,Unknown value,28.1,232.8,236.0,SAR,4.0,11.0,0.9
265759020,Unknown value,0.7,265.5,30.0,SAR,4.0,11.0,0.9
219171000,Under way using engine,8.5,55.9,56.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,8.0,10.6,8.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,8.0,12.6,10.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,6.2,29.5,35.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.4,35.1,40.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,8.2,43.6,39.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.5,33.5,32.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.3,10.3,17.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.5,49.4,50.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.4,50.0,43.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.0,57.1,64.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.6,79.0,81.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.5,80.0,80.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.6,81.2,81.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.2,80.2,80.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.4,79.9,79.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.3,82.2,80.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.4,81.7,79.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,7.6,82.4,80.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,8.0,78.0,73.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,8.3,75.2,74.0,SAR,5.0,19.0,3.3
219171000,Under way using engine,8.4,74.9,74.0,SAR,5.0,19.0,3.3
219203000,Moored,0.0,252.5,77.0,SAR,6.0,35.0,3.6
219171000,Under way using engine,8.4,112.8,114.0,SAR,5.0,19.0,3.3
