mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219005787,Moored,0.0,,,Towing,5.0,13.0,2.0
219996000,Moored,0.0,200.0,238.0,Towing,7.0,21.0,3.4
219017733,Under way using engine,9.2,180.2,179.0,Towing,8.0,24.0,4.0
219017733,Under way using engine,9.5,184.3,180.0,Towing,8.0,24.0,4.0
219996000,Moored,0.0,200.0,239.0,Towing,7.0,21.0,3.4
219005787,Moored,0.1,,,Towing,5.0,13.0,2.0
219996000,Moored,0.0,187.3,238.0,Towing,7.0,21.0,3.4
219996000,Moored,0.0,187.3,237.0,Towing,7.0,21.0,3.4
219001239,Moored,0.0,,,Towing,6.0,19.0,3.0
219996000,Restricted maneuverability,5.2,60.0,60.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,2.8,285.5,287.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,4.9,66.7,63.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,4.9,292.0,291.0,Towing,7.0,21.0,3.4
219005787,Moored,0.0,,,Towing,5.0,13.0,2.0
219005787,Moored,4.0,58.9,,Towing,5.0,13.0,2.0
219001239,Moored,1.9,10.5,,Towing,6.0,19.0,3.0
219996000,Restricted maneuverability,5.0,58.7,58.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,5.6,289.0,286.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,6.3,139.4,127.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,7.1,85.0,84.0,Towing,7.0,21.0,3.4
219996000,Restricted maneuverability,7.0,113.5,132.0,Towing,7.0,21.0,3.4
219011021,Under way using engine,5.3,45.1,40.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.5,35.4,34.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,6.1,19.3,22.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.9,9.9,14.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.9,332.4,333.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.8,337.5,335.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.1,318.8,315.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.6,305.7,310.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.2,314.8,322.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,4.7,338.1,340.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,5.0,224.1,224.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.8,238.3,239.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.8,247.6,239.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.9,251.6,248.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,4.9,249.9,249.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,4.8,244.3,236.0,Towing,6.0,16.0,1.8
305389000,Restricted maneuverability,6.2,54.2,57.0,Towing,14.0,50.0,5.6
305389000,Restricted maneuverability,6.3,59.0,59.0,Towing,14.0,50.0,5.6
305389000,Restricted maneuverability,6.1,59.9,59.0,Towing,14.0,50.0,5.6
219011021,Under way using engine,4.6,235.8,237.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.3,246.6,238.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.5,242.8,237.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,1.9,251.8,235.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.1,270.5,270.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.6,262.9,264.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,4.3,305.9,299.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,3.9,222.2,219.0,Towing,6.0,16.0,1.8
219011021,Under way using engine,2.5,172.9,170.0,Towing,6.0,16.0,1.8
305389000,Restricted maneuverability,5.0,185.7,180.0,Towing,14.0,50.0,5.6
305389000,Restricted maneuverability,4.8,180.8,182.0,Towing,14.0,50.0,5.6
305389000,Restricted maneuverability,5.1,184.0,184.0,Towing,14.0,50.0,5.6
219011021,Under way using engine,3.2,163.2,162.0,Towing,6.0,16.0,1.8
305389000,Restricted maneuverability,5.4,185.1,182.0,Towing,14.0,50.0,5.6
219011021,Under way using engine,2.6,177.4,175.0,Towing,6.0,16.0,1.8
