mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
577534000,Moored,0.0,354.0,45.0,Tug,20.0,82.0,6.0
219021244,Moored,0.0,323.9,36.0,Tug,12.0,30.0,4.8
219012563,Moored,0.0,220.7,60.0,Tug,5.0,10.0,1.7
219003406,Moored,0.1,150.9,241.0,Tug,4.0,15.0,2.5
219001083,Moored,0.0,0.0,61.0,Tug,8.0,22.0,3.4
219849000,Moored,0.0,104.0,323.0,Tug,20.0,130.0,7.5
219025221,Under way using engine,7.1,161.8,165.0,Tug,8.0,26.0,4.2
220466000,Under way using engine,4.2,0.8,,Tug,7.0,20.0,2.6
219025221,Under way using engine,6.9,164.4,167.0,Tug,8.0,26.0,4.2
219025221,Under way using engine,7.2,165.6,166.0,Tug,8.0,26.0,4.2
220466000,Under way using engine,3.8,4.6,,Tug,7.0,20.0,2.6
219025221,Under way using engine,6.1,169.7,170.0,Tug,8.0,26.0,4.2
219025221,Under way using engine,6.4,169.8,177.0,Tug,8.0,26.0,4.2
219024194,Under way using engine,9.9,350.3,348.0,Tug,9.0,26.0,3.0
304028000,Restricted maneuverability,6.4,233.7,238.0,Tug,14.0,37.0,6.9
304028000,Restricted maneuverability,5.8,234.3,238.0,Tug,14.0,37.0,6.9
220466000,Under way using engine,3.0,0.7,,Tug,7.0,20.0,2.6
219022300,Under way using engine,9.7,98.8,100.0,Tug,9.0,28.0,3.2
220466000,Under way using engine,3.6,353.9,,Tug,7.0,20.0,2.6
265644320,Under way using engine,9.1,202.0,192.0,Tug,5.0,19.0,2.4
231809000,Under way using engine,6.6,102.2,113.0,Tug,13.0,33.0,5.4
219014875,Under way using engine,5.5,79.3,86.0,Tug,13.0,33.0,5.4
231809000,Under way using engine,7.2,81.2,87.0,Tug,13.0,33.0,5.4
219021244,Under way using engine,7.9,41.9,36.0,Tug,12.0,30.0,4.8
219014875,Under way using engine,5.6,17.9,19.0,Tug,13.0,33.0,5.4
219021244,Under way using engine,10.2,335.0,334.0,Tug,12.0,30.0,4.8
231809000,Under way using engine,6.4,35.9,210.0,Tug,13.0,33.0,5.4
219021244,Under way using engine,9.9,47.5,46.0,Tug,12.0,30.0,4.8
219021244,Under way using engine,10.2,91.1,88.0,Tug,12.0,30.0,4.8
219022265,Under way using engine,10.2,64.6,64.0,Tug,12.0,28.0,5.6
219021244,Under way using engine,10.3,74.0,71.0,Tug,12.0,30.0,4.8
219022265,Under way using engine,10.1,63.2,64.0,Tug,12.0,28.0,5.6
219021244,Under way using engine,9.8,63.6,67.0,Tug,12.0,30.0,4.8
219022265,Under way using engine,10.3,62.9,61.0,Tug,12.0,28.0,5.6
219021244,Under way using engine,9.8,98.0,98.0,Tug,12.0,30.0,4.8
219022265,Under way using engine,10.5,62.9,62.0,Tug,12.0,28.0,5.6
219022265,Under way using engine,10.6,63.1,62.0,Tug,12.0,28.0,5.6
219021244,Under way using engine,9.8,111.9,111.0,Tug,12.0,30.0,4.8
219022265,Under way using engine,10.5,88.9,87.0,Tug,12.0,28.0,5.6
219022265,Under way using engine,10.5,87.8,88.0,Tug,12.0,28.0,5.6
219022265,Under way using engine,10.4,88.8,91.0,Tug,12.0,28.0,5.6
219022265,Under way using engine,10.2,89.5,88.0,Tug,12.0,28.0,5.6
