mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219015373,Moored,0.0,0.0,0.0,Fishing,6.0,15.0,7.8
219009542,Engaged in fishing,8.2,14.7,,Fishing,4.0,13.0,2.0
219009542,Engaged in fishing,8.0,21.5,,Fishing,4.0,13.0,2.0
220352000,Unknown value,0.0,10.8,,Fishing,6.0,16.0,3.0
220307000,Under way using engine,6.7,74.7,,Fishing,6.0,20.0,3.7
220307000,Under way using engine,6.7,75.5,,Fishing,6.0,20.0,3.7
220307000,Under way using engine,4.5,124.2,,Fishing,6.0,20.0,3.7
220307000,Under way using engine,5.4,129.9,,Fishing,6.0,20.0,3.7
220307000,Under way using engine,3.7,132.5,,Fishing,6.0,20.0,3.7
220307000,Under way using engine,5.8,129.1,,Fishing,6.0,20.0,3.7
220307000,Under way using engine,5.8,129.2,,Fishing,6.0,20.0,3.7
219013485,Engaged in fishing,8.4,21.0,22.0,Fishing,7.0,22.0,4.4
219013485,Engaged in fishing,8.7,19.8,18.0,Fishing,7.0,22.0,4.4
220307000,Under way using engine,2.5,168.4,,Fishing,6.0,20.0,3.7
219026172,Engaged in fishing,5.8,56.9,60.0,Fishing,7.0,22.0,5.0
220307000,Under way using engine,3.1,11.3,,Fishing,6.0,20.0,3.7
219026172,Engaged in fishing,7.8,21.0,20.0,Fishing,7.0,22.0,5.0
220142000,Engaged in fishing,8.8,21.1,24.0,Fishing,6.0,21.0,6.2
220142000,Engaged in fishing,8.4,22.3,23.0,Fishing,6.0,21.0,6.2
219012302,Under way using engine,8.6,324.0,321.0,Fishing,5.0,15.0,3.0
220307000,Under way using engine,2.3,79.7,,Fishing,6.0,20.0,3.7
219012302,Under way using engine,8.9,321.0,325.0,Fishing,5.0,15.0,3.0
266186000,Engaged in fishing,7.6,181.1,184.0,Fishing,5.0,16.0,2.5
219006835,Engaged in fishing,8.0,77.2,75.0,Fishing,4.0,14.0,2.5
220334000,Engaged in fishing,7.7,8.4,3.0,Fishing,4.0,15.0,25.5
