mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219005991,Unknown value,0.1,,,Dredging,3.0,9.0,
219018833,Moored,0.1,163.9,34.0,Dredging,8.0,30.0,3.5
245861000,Moored,0.0,294.0,294.0,Dredging,32.0,155.0,6.1
370046000,Under way using engine,0.0,335.3,79.0,Dredging,8.0,27.0,3.0
244180240,Under way using engine,13.6,13.1,13.0,Dredging,24.0,142.0,7.5
244180240,Under way using engine,13.4,12.0,12.0,Dredging,24.0,142.0,7.5
244180240,Under way using engine,9.5,348.5,351.0,Dredging,24.0,142.0,7.5
244180240,Under way using engine,8.6,329.4,325.0,Dredging,24.0,142.0,7.5
244180240,Under way using engine,1.5,294.0,309.0,Dredging,24.0,142.0,7.5
219005991,Unknown value,0.2,,,Dredging,3.0,9.0,
219014219,Moored,0.1,276.0,,Dredging,4.0,14.0,1.5
245861000,Moored,0.1,24.0,294.0,Dredging,32.0,155.0,6.1
370046000,Under way using engine,0.0,301.3,78.0,Dredging,8.0,27.0,3.0
219001261,Under way using engine,7.3,59.0,60.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,6.1,105.0,111.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,6.3,107.0,109.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,6.5,101.0,108.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,6.6,114.0,121.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,6.3,108.0,111.0,Dredging,8.0,30.0,2.0
219002493,Under way using engine,6.6,76.8,79.0,Dredging,8.0,50.0,4.5
219001261,Under way using engine,6.1,107.0,106.0,Dredging,8.0,30.0,2.0
219002493,Under way using engine,7.5,17.0,18.0,Dredging,8.0,50.0,4.5
219002493,Under way using engine,8.2,67.8,72.0,Dredging,8.0,50.0,4.5
219001261,Under way using engine,6.1,107.0,109.0,Dredging,8.0,30.0,2.0
219001819,Under way using engine,10.0,183.0,182.0,Dredging,14.0,66.0,3.6
219002493,Under way using engine,8.7,48.3,40.0,Dredging,8.0,50.0,4.5
219001261,Under way using engine,6.4,103.0,103.0,Dredging,8.0,30.0,2.0
219001819,Under way using engine,9.5,181.1,178.0,Dredging,14.0,66.0,3.6
219002493,Under way using engine,8.9,7.5,8.0,Dredging,8.0,50.0,4.5
219001261,Under way using engine,6.4,109.0,106.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,6.4,107.0,103.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,9.1,64.0,65.0,Dredging,14.0,84.0,4.0
219002493,Under way using engine,9.0,38.1,36.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.0,102.0,105.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,6.4,108.0,104.0,Dredging,8.0,30.0,2.0
219002493,Under way using engine,8.9,47.9,52.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.2,101.0,103.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,6.3,109.0,100.0,Dredging,8.0,30.0,2.0
219002493,Under way using engine,8.5,47.9,47.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.4,102.0,106.0,Dredging,14.0,84.0,4.0
219461000,Under way using engine,,,205.0,Dredging,9.0,107.0,3.8
219461000,Under way using engine,,,204.0,Dredging,9.0,107.0,3.8
219002493,Under way using engine,8.5,47.0,49.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.5,104.0,106.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,6.7,103.0,97.0,Dredging,8.0,30.0,2.0
219002493,Under way using engine,8.7,39.0,43.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.2,103.0,104.0,Dredging,14.0,84.0,4.0
219461000,Under way using engine,,,220.0,Dredging,9.0,107.0,3.8
219000195,Moored,5.5,111.0,111.0,Dredging,12.0,66.0,4.5
219461000,Under way using engine,,,225.0,Dredging,9.0,107.0,3.8
219001261,Under way using engine,6.4,109.0,108.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,10.2,104.0,102.0,Dredging,14.0,84.0,4.0
219000195,Moored,4.4,108.4,109.0,Dredging,12.0,66.0,4.5
219002493,Under way using engine,9.3,37.3,32.0,Dredging,8.0,50.0,4.5
219002493,Under way using engine,9.3,37.0,32.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.1,101.0,100.0,Dredging,14.0,84.0,4.0
219573000,Under way using engine,10.3,102.0,101.0,Dredging,14.0,84.0,4.0
219000195,Moored,3.1,273.3,268.0,Dredging,12.0,66.0,4.5
219001261,Under way using engine,6.3,166.0,171.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,10.3,110.0,109.0,Dredging,14.0,84.0,4.0
219028394,Under way using engine,6.3,120.8,110.0,Dredging,8.0,30.0,
219002493,Under way using engine,8.0,48.7,53.0,Dredging,8.0,50.0,4.5
219002493,Under way using engine,8.2,49.6,53.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.3,115.0,112.0,Dredging,14.0,84.0,4.0
219028394,Under way using engine,6.9,111.4,104.0,Dredging,8.0,30.0,
219573000,Under way using engine,10.4,116.0,113.0,Dredging,14.0,84.0,4.0
219002493,Under way using engine,8.4,49.8,46.0,Dredging,8.0,50.0,4.5
219001261,Under way using engine,6.9,102.0,101.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,10.0,113.0,109.0,Dredging,14.0,84.0,4.0
219573000,Under way using engine,10.0,115.0,109.0,Dredging,14.0,84.0,4.0
219028394,Under way using engine,6.8,128.3,126.0,Dredging,8.0,30.0,
219002493,Under way using engine,7.5,52.8,60.0,Dredging,8.0,50.0,4.5
219964000,Under way using engine,7.3,75.0,76.0,Dredging,12.0,75.0,2.8
219573000,Under way using engine,9.8,117.0,109.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,7.4,102.0,96.0,Dredging,8.0,30.0,2.0
219028394,Under way using engine,7.1,133.1,131.0,Dredging,8.0,30.0,
219002493,Under way using engine,8.6,103.3,103.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,9.8,109.0,110.0,Dredging,14.0,84.0,4.0
273422380,Under way using engine,9.4,347.3,344.0,Dredging,17.0,141.0,4.6
219964000,Under way using engine,9.1,75.4,77.0,Dredging,12.0,75.0,2.8
219001261,Under way using engine,8.1,122.0,125.0,Dredging,8.0,30.0,2.0
273422380,Under way using engine,9.3,345.8,344.0,Dredging,17.0,141.0,4.6
219002493,Under way using engine,8.5,101.1,101.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.2,115.0,114.0,Dredging,14.0,84.0,4.0
219964000,Under way using engine,9.3,76.9,78.0,Dredging,12.0,75.0,2.8
273422380,Under way using engine,6.7,354.2,354.0,Dredging,17.0,141.0,4.6
219001261,Under way using engine,8.7,150.0,151.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,10.8,133.0,130.0,Dredging,14.0,84.0,4.0
219002493,Under way using engine,8.3,101.8,101.0,Dredging,8.0,50.0,4.5
219573000,Under way using engine,10.9,130.0,127.0,Dredging,14.0,84.0,4.0
219964000,Under way using engine,9.2,75.5,77.0,Dredging,12.0,75.0,2.8
219573000,Under way using engine,12.4,126.0,129.0,Dredging,14.0,84.0,4.0
273422380,Under way using engine,7.5,261.2,261.0,Dredging,17.0,141.0,4.6
219002493,Under way using engine,8.2,100.9,100.0,Dredging,8.0,50.0,4.5
219964000,Under way using engine,8.0,76.0,75.0,Dredging,12.0,75.0,2.8
219573000,Under way using engine,11.6,171.0,187.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,6.8,183.0,185.0,Dredging,8.0,30.0,2.0
219964000,Under way using engine,8.2,343.0,353.0,Dredging,12.0,75.0,2.8
219573000,Under way using engine,10.7,173.0,174.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,7.6,159.0,163.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,10.3,164.0,162.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,7.2,166.0,169.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,11.0,161.0,162.0,Dredging,14.0,84.0,4.0
219964000,Under way using engine,6.8,351.1,352.0,Dredging,12.0,75.0,2.8
219573000,Under way using engine,10.4,196.0,200.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,6.4,187.0,195.0,Dredging,8.0,30.0,2.0
219964000,Under way using engine,8.7,25.6,23.0,Dredging,12.0,75.0,2.8
219573000,Under way using engine,12.6,174.0,175.0,Dredging,14.0,84.0,4.0
219964000,Under way using engine,8.6,21.8,18.0,Dredging,12.0,75.0,2.8
219001261,Under way using engine,8.6,172.0,175.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,11.2,185.0,184.0,Dredging,14.0,84.0,4.0
219964000,Under way using engine,7.5,349.1,349.0,Dredging,12.0,75.0,2.8
219964000,Under way using engine,7.4,349.3,349.0,Dredging,12.0,75.0,2.8
219001261,Under way using engine,7.9,211.0,211.0,Dredging,8.0,30.0,2.0
219573000,Under way using engine,10.2,190.0,187.0,Dredging,14.0,84.0,4.0
219001261,Under way using engine,5.9,259.0,266.0,Dredging,8.0,30.0,2.0
219964000,Under way using engine,8.6,339.2,342.0,Dredging,12.0,75.0,2.8
211553000,Under way using engine,17.3,59.0,60.0,Dredging,23.0,147.0,7.5
211553000,Under way using engine,17.2,60.0,59.0,Dredging,23.0,147.0,7.5
219001261,Under way using engine,5.5,319.0,316.0,Dredging,8.0,30.0,2.0
219001261,Under way using engine,5.6,316.0,312.0,Dredging,8.0,30.0,2.0
219964000,Under way using engine,7.8,336.6,340.0,Dredging,12.0,75.0,2.8
219964000,Under way using engine,6.5,315.3,321.0,Dredging,12.0,75.0,2.8
