mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219263000,Moored,0.0,353.9,100.0,Military,12.0,48.0,4.2
219000174,Moored,0.0,283.1,223.0,Military,,,2.5
219000217,Moored,0.0,20.2,,Military,9.0,54.0,3.6
219000179,Moored,0.0,186.5,229.0,Military,6.0,25.0,2.5
220434000,Moored,0.0,195.6,101.0,Military,9.0,43.0,2.6
219002066,Moored,0.0,182.8,280.0,Military,7.0,16.0,2.8
219007678,Moored,0.0,143.9,,Military,7.0,29.0,2.2
220434000,Under way using engine,10.7,272.0,269.0,Military,9.0,43.0,2.6
220434000,Under way using engine,14.0,268.6,269.0,Military,9.0,43.0,2.6
220434000,Under way using engine,14.1,270.4,270.0,Military,9.0,43.0,2.6
220434000,Under way using engine,15.8,270.4,268.0,Military,9.0,43.0,2.6
220434000,Under way using engine,16.1,293.8,290.0,Military,9.0,43.0,2.6
220434000,Under way using engine,15.9,294.3,289.0,Military,9.0,43.0,2.6
220434000,Under way using engine,15.8,293.6,289.0,Military,9.0,43.0,2.6
220434000,Under way using engine,19.8,293.7,292.0,Military,9.0,43.0,2.6
220434000,Under way using engine,20.3,290.9,289.0,Military,9.0,43.0,2.6
220434000,Under way using engine,20.5,301.4,300.0,Military,9.0,43.0,2.6
220434000,Under way using engine,13.1,307.1,306.0,Military,9.0,43.0,2.6
220434000,Under way using engine,13.7,307.5,306.0,Military,9.0,43.0,2.6
220434000,Under way using engine,12.8,172.6,172.0,Military,9.0,43.0,2.6
220434000,Under way using engine,12.3,173.1,170.0,Military,9.0,43.0,2.6
220434000,Under way using engine,13.5,179.8,178.0,Military,9.0,43.0,2.6
220434000,Under way using engine,13.4,159.8,158.0,Military,9.0,43.0,2.6
220434000,Under way using engine,4.9,175.5,172.0,Military,9.0,43.0,2.6
219000192,Moored,0.0,129.4,278.0,Military,6.0,23.0,2.5
219000175,Moored,0.0,58.9,231.0,Military,6.0,27.0,2.4
219000177,Moored,0.0,171.9,240.0,Military,6.0,25.0,2.5
219263000,Moored,0.0,353.9,99.0,Military,12.0,48.0,4.2
219024604,Moored,0.0,301.7,114.0,Military,7.0,21.0,1.9
219000121,Moored,0.0,201.9,7.0,Military,6.0,20.0,2.1
219000179,Moored,0.0,60.7,230.0,Military,6.0,25.0,2.5
219000217,Moored,0.0,20.2,,Military,9.0,54.0,3.6
220434000,Under way using engine,14.0,4.5,2.0,Military,9.0,43.0,2.6
220434000,Under way using engine,15.9,88.9,87.0,Military,9.0,43.0,2.6
220434000,Under way using engine,24.7,88.6,86.0,Military,9.0,43.0,2.6
220434000,Under way using engine,26.7,102.3,100.0,Military,9.0,43.0,2.6
220434000,Under way using engine,26.7,102.4,100.0,Military,9.0,43.0,2.6
220434000,Under way using engine,25.2,98.8,98.0,Military,9.0,43.0,2.6
220434000,Under way using engine,24.0,178.1,176.0,Military,9.0,43.0,2.6
220434000,Under way using engine,24.6,175.4,173.0,Military,9.0,43.0,2.6
220434000,Under way using engine,24.4,193.2,191.0,Military,9.0,43.0,2.6
220436000,Under way using engine,15.7,40.5,41.0,Military,9.0,43.0,2.6
220434000,Under way using engine,19.9,261.4,261.0,Military,9.0,43.0,2.6
220436000,Under way using engine,15.8,6.1,9.0,Military,9.0,43.0,2.6
220434000,Under way using engine,24.0,10.9,10.0,Military,9.0,43.0,2.6
220436000,Under way using engine,15.5,343.6,345.0,Military,9.0,43.0,2.6
220436000,Under way using engine,15.7,344.1,344.0,Military,9.0,43.0,2.6
220436000,Under way using engine,15.9,359.1,1.0,Military,9.0,43.0,2.6
220434000,Under way using engine,10.8,241.0,237.0,Military,9.0,43.0,2.6
220435000,Under way using engine,11.9,117.8,118.0,Military,9.0,43.0,2.7
220436000,Under way using engine,14.4,344.7,342.0,Military,9.0,43.0,2.6
220435000,Under way using engine,17.3,135.7,136.0,Military,9.0,43.0,2.7
220435000,Under way using engine,17.6,113.8,113.0,Military,9.0,43.0,2.7
220436000,Under way using engine,15.1,313.9,313.0,Military,9.0,43.0,2.6
220435000,Under way using engine,17.8,119.5,120.0,Military,9.0,43.0,2.7
220436000,Under way using engine,14.5,301.0,301.0,Military,9.0,43.0,2.6
220435000,Under way using engine,17.7,98.7,99.0,Military,9.0,43.0,2.7
220434000,Under way using engine,19.7,137.8,139.0,Military,9.0,43.0,2.6
220436000,Under way using engine,14.8,299.3,301.0,Military,9.0,43.0,2.6
220436000,Under way using engine,15.0,290.9,294.0,Military,9.0,43.0,2.6
220435000,Under way using engine,18.0,77.2,78.0,Military,9.0,43.0,2.7
