mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219028066,Unknown value,0.0,,,Pleasure,3.0,12.0,
219023719,Unknown value,0.0,8.7,,Pleasure,3.0,8.0,
219029104,Unknown value,0.0,,,Pleasure,4.0,13.0,
235079183,Unknown value,0.0,0.0,,Pleasure,4.0,11.0,
219025741,Unknown value,0.0,,,Pleasure,4.0,11.0,
219004634,Unknown value,0.3,,,Pleasure,,,
219024815,Unknown value,0.0,,,Pleasure,5.0,16.0,
219027249,Unknown value,0.1,351.6,,Pleasure,4.0,20.0,
219027290,Unknown value,0.0,343.4,343.0,Pleasure,3.0,8.0,
219022162,Unknown value,0.1,286.3,,Pleasure,4.0,,
265002810,Unknown value,0.0,,,Pleasure,2.0,12.0,
219025508,Unknown value,0.0,0.0,,Pleasure,,,
219028070,Unknown value,0.0,,,Pleasure,2.0,6.0,
219014521,Unknown value,0.0,318.0,,Pleasure,4.0,16.0,
219002998,Unknown value,0.0,314.3,,Pleasure,6.0,17.0,
219026076,Unknown value,0.0,179.3,,Pleasure,3.0,9.0,
219022736,Unknown value,0.0,153.0,,Pleasure,,,
265712190,Unknown value,0.0,0.0,,Pleasure,6.0,19.0,
219026833,Unknown value,0.2,,,Pleasure,4.0,10.0,
219016194,Unknown value,0.0,,,Pleasure,3.0,12.0,
265786790,Unknown value,0.0,212.0,,Pleasure,2.0,10.0,
219007078,Unknown value,0.0,205.9,,Pleasure,5.0,15.0,
219017202,Unknown value,0.0,26.6,,Pleasure,3.0,9.0,
219024852,Unknown value,0.1,256.8,,Pleasure,4.0,12.0,
265008870,Unknown value,0.1,,,Pleasure,3.0,8.0,
219022614,Unknown value,0.0,,,Pleasure,5.0,15.0,
219028998,Unknown value,0.0,,,Pleasure,3.0,7.0,
219023372,Unknown value,0.0,0.0,0.0,Pleasure,4.0,10.0,
219025787,Unknown value,0.0,,,Pleasure,4.0,13.0,
219004426,Unknown value,0.0,,,Pleasure,3.0,9.0,
912191373,Moored,0.1,183.5,,Pleasure,4.0,14.0,1.3
219024085,Unknown value,0.0,7.9,,Pleasure,4.0,10.0,
219014727,Unknown value,0.1,158.2,,Pleasure,3.0,9.0,
219020337,Unknown value,0.0,348.7,,Pleasure,3.0,7.0,
219022559,Unknown value,31.9,21.6,,Pleasure,2.0,5.0,
219022559,Unknown value,48.1,46.7,,Pleasure,2.0,5.0,
219022559,Unknown value,47.1,62.5,,Pleasure,2.0,5.0,
219022559,Unknown value,44.3,0.2,,Pleasure,2.0,5.0,
219022559,Unknown value,45.5,15.0,,Pleasure,2.0,5.0,
219022559,Unknown value,46.7,71.1,,Pleasure,2.0,5.0,
219022559,Unknown value,41.7,333.9,,Pleasure,2.0,5.0,
219023277,Unknown value,0.1,75.5,,Pleasure,6.0,22.0,
219022559,Unknown value,5.0,103.5,,Pleasure,2.0,5.0,
219028579,Unknown value,0.0,,,Pleasure,3.0,9.0,
219002315,Unknown value,50.8,52.5,,Pleasure,3.0,11.0,
219002315,Unknown value,16.0,14.9,,Pleasure,3.0,11.0,
219002315,Unknown value,27.4,16.1,,Pleasure,3.0,11.0,
219022559,Unknown value,18.3,3.4,,Pleasure,2.0,5.0,
219026210,Unknown value,2.6,61.2,,Pleasure,2.0,6.0,
219022559,Unknown value,1.3,138.0,,Pleasure,2.0,5.0,
219024789,Unknown value,18.6,138.2,,Pleasure,2.0,3.0,
244130233,Unknown value,30.2,106.1,,Pleasure,6.0,17.0,
219025637,Unknown value,23.0,90.2,,Pleasure,2.0,6.0,
219023496,Unknown value,6.3,279.8,,Pleasure,,,
219023496,Unknown value,6.1,278.8,,Pleasure,,,
219008427,Unknown value,5.8,37.6,,Pleasure,4.0,12.0,
219029135,Unknown value,0.0,,,Pleasure,6.0,25.0,
219023496,Unknown value,5.5,240.8,,Pleasure,,,
219024637,Unknown value,0.1,,,Pleasure,4.0,9.0,
219022559,Unknown value,25.6,231.6,,Pleasure,2.0,5.0,
219022559,Unknown value,1.9,218.9,,Pleasure,2.0,5.0,
219028412,Unknown value,21.0,122.6,,Pleasure,3.0,8.0,
219025821,Unknown value,3.5,,,Pleasure,2.0,6.0,
219019278,Unknown value,15.1,321.4,353.0,Pleasure,2.0,8.0,
219019278,Unknown value,17.3,323.8,353.0,Pleasure,2.0,8.0,
219001003,Unknown value,4.9,113.3,,Pleasure,4.0,11.0,
219025821,Unknown value,2.3,127.8,,Pleasure,2.0,6.0,
244130233,Unknown value,54.7,205.2,,Pleasure,6.0,17.0,
219001041,Under way using engine,32.1,267.6,266.0,Pleasure,2.0,7.0,
219025821,Unknown value,2.5,123.8,,Pleasure,2.0,6.0,
