mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219002783,Moored,0.0,295.2,1.0,SAR,6.0,15.0,3.0
219203000,Moored,0.0,179.3,77.0,SAR,6.0,35.0,3.6
111219513,Under way using engine,69.2,82.3,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,73.8,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,71.8,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,72.0,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,72.1,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,73.7,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,73.0,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,74.1,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,73.9,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,72.4,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,75.3,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,72.1,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,71.7,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,73.7,,SAR,5.0,20.0,
111219513,Under way using engine,102.2,241.0,,SAR,5.0,20.0,
219171000,Under way using engine,0.0,218.8,78.0,SAR,5.0,19.0,3.3
219001306,Under way using engine,22.7,115.0,112.0,SAR,4.0,16.0,1.5
111219504,Under way using engine,102.2,55.2,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,55.1,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,55.9,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,56.3,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,56.3,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,47.7,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,47.2,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,47.5,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,47.7,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,37.9,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,37.6,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,355.3,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,295.9,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,263.1,,SAR,5.0,20.0,
111219504,Under way using engine,102.2,263.0,,SAR,5.0,20.0,
111219504,Under way using engine,36.0,265.0,,SAR,5.0,20.0,
265797590,Under way using engine,34.0,310.9,311.0,SAR,4.0,14.0,1.2
265816840,Moored,23.8,331.7,332.0,SAR,4.0,15.0,
265816840,Moored,23.1,334.2,334.0,SAR,4.0,15.0,
265816840,Moored,21.3,287.5,287.0,SAR,4.0,15.0,
