mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
230987000,Moored,0.0,248.6,38.0,Passenger,31.0,219.0,6.0
219002973,Moored,0.0,,,Passenger,4.0,14.0,1.8
266467000,Under way using engine,17.0,184.6,183.0,Passenger,24.0,130.0,4.9
311000506,Moored,0.0,318.0,318.0,Passenger,14.0,85.0,3.8
265041000,Under way using engine,9.0,262.0,264.0,Passenger,28.0,111.0,5.0
266467000,Under way using engine,17.1,141.0,141.0,Passenger,24.0,130.0,4.9
311001029,Under way using engine,16.4,158.2,159.0,Passenger,26.0,222.0,5.7
266467000,Under way using engine,16.8,147.7,148.0,Passenger,24.0,130.0,4.9
266467000,Under way using engine,17.1,146.3,146.0,Passenger,24.0,130.0,4.9
311001029,Under way using engine,14.1,162.9,165.0,Passenger,26.0,222.0,5.7
311001029,Under way using engine,14.1,163.6,164.0,Passenger,26.0,222.0,5.7
266467000,Under way using engine,16.4,189.8,193.0,Passenger,24.0,130.0,4.9
311001029,Under way using engine,13.6,165.8,168.0,Passenger,26.0,222.0,5.7
266467000,Under way using engine,10.6,222.0,225.0,Passenger,24.0,130.0,4.9
311001029,Under way using engine,14.1,165.3,167.0,Passenger,26.0,222.0,5.7
266467000,Under way using engine,10.6,221.1,222.0,Passenger,24.0,130.0,4.9
311001029,Under way using engine,14.2,164.4,166.0,Passenger,26.0,222.0,5.7
266467000,Under way using engine,10.2,221.1,223.0,Passenger,24.0,130.0,4.9
219592000,Under way using engine,17.7,161.6,162.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,17.3,158.8,159.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,17.2,158.1,160.0,Passenger,26.0,169.0,6.3
311001029,Under way using engine,14.4,166.0,166.0,Passenger,26.0,222.0,5.7
266467000,Under way using engine,11.4,197.5,200.0,Passenger,24.0,130.0,4.9
311001029,Under way using engine,14.4,165.2,166.0,Passenger,26.0,222.0,5.7
219592000,Under way using engine,16.9,165.3,167.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,17.3,138.7,139.0,Passenger,26.0,169.0,6.3
311001029,Under way using engine,14.5,164.2,163.0,Passenger,26.0,222.0,5.7
