mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
912191373,Moored,0.1,183.5,,Pleasure,4.0,14.0,1.3
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
219022390,Moored,0.0,1.6,99.0,Pleasure,7.0,27.0,2.0
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
912191373,Moored,0.0,137.9,,Pleasure,4.0,14.0,1.3
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
265706790,Under way using engine,32.2,214.6,210.0,Pleasure,4.0,15.0,1.0
912191373,Moored,0.1,184.6,,Pleasure,4.0,14.0,1.3
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
219022390,Moored,0.0,9.9,100.0,Pleasure,7.0,27.0,2.0
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
265706790,Under way using engine,27.0,207.3,206.0,Pleasure,4.0,15.0,1.0
265706790,Under way using engine,33.5,196.2,196.0,Pleasure,4.0,15.0,1.0
265706790,Under way using engine,32.5,176.1,174.0,Pleasure,4.0,15.0,1.0
265706790,Under way using engine,33.1,145.5,147.0,Pleasure,4.0,15.0,1.0
219022389,Moored,0.0,176.8,105.0,Pleasure,7.0,27.0,2.0
912191373,Moored,0.1,187.6,,Pleasure,4.0,14.0,1.3
219022389,Moored,0.0,176.8,104.0,Pleasure,7.0,27.0,2.0
265706790,Under way using engine,32.7,244.6,256.0,Pleasure,4.0,15.0,1.0
912191373,Moored,102.2,359.4,,Pleasure,4.0,14.0,1.3
219022390,Moored,0.0,246.4,99.0,Pleasure,7.0,27.0,2.0
912191373,Moored,0.1,179.6,,Pleasure,4.0,14.0,1.3
219029797,Moored,0.1,49.3,,Pleasure,4.0,14.0,2.0
219022389,Moored,0.0,123.3,105.0,Pleasure,7.0,27.0,2.0
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
219022389,Moored,0.0,123.3,104.0,Pleasure,7.0,27.0,2.0
219022390,Moored,0.0,31.2,99.0,Pleasure,7.0,27.0,2.0
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
219022389,Moored,0.0,151.8,104.0,Pleasure,7.0,27.0,2.0
265706790,Under way using engine,28.7,206.6,207.0,Pleasure,4.0,15.0,1.0
912191373,Moored,0.1,85.5,,Pleasure,4.0,14.0,1.3
219025421,Moored,0.1,239.1,,Pleasure,7.0,24.0,1.9
265706790,Under way using engine,24.2,203.9,203.0,Pleasure,4.0,15.0,1.0
265706790,Under way using engine,33.8,198.6,200.0,Pleasure,4.0,15.0,1.0
219022390,Moored,0.0,289.6,100.0,Pleasure,7.0,27.0,2.0
219025421,Moored,0.0,,,Pleasure,7.0,24.0,1.9
