mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219014412,Moored,0.0,276.7,112.0,Sailing,9.0,27.0,2.2
220001000,Moored,0.0,349.3,288.0,Sailing,6.0,25.0,2.5
219014412,Moored,0.0,276.7,,Sailing,9.0,27.0,2.2
219023617,Moored,0.0,52.3,98.0,Sailing,8.0,49.0,3.1
220001000,Moored,0.1,150.6,289.0,Sailing,6.0,25.0,2.5
219014412,Moored,9.7,43.9,43.0,Sailing,9.0,27.0,2.2
219014412,Moored,9.8,6.0,4.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.3,351.2,348.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.6,348.3,348.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,9.9,42.6,35.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.3,328.9,329.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.2,317.6,314.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.6,316.6,315.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.5,312.1,311.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.4,312.8,311.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.6,254.3,257.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.3,251.6,252.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.3,252.6,253.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.2,254.5,257.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.0,265.9,264.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.2,266.3,265.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.1,264.4,264.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,10.9,265.1,264.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.1,264.9,264.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.2,264.8,264.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.3,266.1,265.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.4,265.8,264.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.0,265.6,265.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.6,222.4,221.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.9,218.6,218.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.7,210.5,209.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.1,210.3,211.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.2,229.4,227.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.4,219.6,220.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.3,220.2,221.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.9,146.5,147.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,11.6,125.3,126.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,12.4,118.3,115.0,Sailing,9.0,27.0,2.2
219014412,Under way using engine,12.1,116.5,115.0,Sailing,9.0,27.0,2.2
219777000,Under way using engine,8.3,83.0,85.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,8.3,82.2,82.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,8.3,81.2,82.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,8.5,81.8,84.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,8.5,82.7,82.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,8.7,85.7,81.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,8.8,80.3,85.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,9.0,124.1,127.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,9.0,124.4,127.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,9.1,121.3,125.0,Sailing,12.0,40.0,3.0
220001000,Moored,0.0,183.2,288.0,Sailing,6.0,25.0,2.5
219777000,Under way using engine,7.8,314.5,313.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,7.4,290.4,290.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,7.7,91.0,92.0,Sailing,12.0,40.0,3.0
219777000,Under way using engine,7.8,119.6,122.0,Sailing,12.0,40.0,3.0
219023617,Moored,0.0,46.9,97.0,Sailing,8.0,49.0,3.1
220001000,Moored,0.0,152.7,,Sailing,6.0,25.0,2.5
