mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219025840,Moored,0.0,60.0,309.0,Pilot,7.0,17.0,1.5
219023833,Under way using engine,13.4,291.7,292.0,Pilot,4.0,15.0,1.5
219023833,Under way using engine,10.8,292.3,291.0,Pilot,4.0,15.0,1.5
219023833,Under way using engine,9.6,289.5,286.0,Pilot,4.0,15.0,1.5
219023648,Under way using engine,18.0,331.9,329.0,Pilot,5.0,15.0,1.5
219024784,Under way using engine,14.6,82.7,82.0,Pilot,5.0,16.0,1.5
219023648,Under way using engine,21.4,330.8,327.0,Pilot,5.0,15.0,1.5
219024784,Under way using engine,21.6,112.4,106.0,Pilot,5.0,16.0,1.5
219023648,Under way using engine,21.4,335.3,334.0,Pilot,5.0,15.0,1.5
219026706,Under way using engine,13.6,171.1,166.0,Pilot,5.0,15.0,1.5
265610940,Under way using engine,21.2,291.1,295.0,Pilot,5.0,17.0,
265610940,Under way using engine,21.4,292.4,295.0,Pilot,5.0,17.0,
265610940,Under way using engine,21.3,311.8,312.0,Pilot,5.0,17.0,
265610940,Under way using engine,25.1,108.2,102.0,Pilot,5.0,17.0,
219023648,Under way using engine,21.8,333.8,339.0,Pilot,5.0,15.0,1.5
219023648,Under way using engine,21.9,335.8,335.0,Pilot,5.0,15.0,1.5
219023833,Under way using engine,12.2,326.9,327.0,Pilot,4.0,15.0,1.5
219024675,Under way using engine,0.6,94.0,267.0,Pilot,5.0,15.0,1.5
219024675,Under way using engine,9.6,104.4,106.0,Pilot,5.0,15.0,1.5
265610950,Under way using engine,20.8,234.6,234.0,Pilot,5.0,15.0,1.5
265610950,Under way using engine,21.8,219.5,219.0,Pilot,5.0,15.0,1.5
265610950,Under way using engine,14.0,229.7,230.0,Pilot,5.0,15.0,1.5
265610950,Under way using engine,11.2,219.1,210.0,Pilot,5.0,15.0,1.5
219001013,Unknown value,17.4,117.1,120.0,Pilot,4.0,14.0,
219001013,Unknown value,16.5,121.4,124.0,Pilot,4.0,14.0,
219001013,Unknown value,15.8,122.6,123.0,Pilot,4.0,14.0,
219024176,Under way using engine,23.1,332.0,330.0,Pilot,5.0,15.0,1.5
219023945,Under way using engine,11.9,326.5,,Pilot,4.0,14.0,1.5
219024176,Under way using engine,23.4,323.1,321.0,Pilot,5.0,15.0,1.5
