mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219027820,Unknown value,0.1,,,Sailing,4.0,13.0,
219028878,Unknown value,0.0,93.7,93.0,Sailing,4.0,15.0,
265771450,Unknown value,0.0,308.4,,Sailing,3.0,13.0,
265811820,Unknown value,0.0,,,Sailing,3.0,10.0,
265621730,Unknown value,0.0,268.0,,Sailing,3.0,10.0,
219014412,Moored,0.0,276.7,112.0,Sailing,9.0,27.0,2.2
220001000,Moored,0.0,349.3,288.0,Sailing,6.0,25.0,2.5
219026520,Unknown value,0.1,207.0,,Sailing,8.0,13.0,
219008177,Unknown value,0.0,,,Sailing,4.0,12.0,
219016223,Unknown value,0.0,,,Sailing,4.0,11.0,
219022542,Unknown value,0.0,,,Sailing,4.0,10.0,
219014399,Unknown value,0.2,9.5,,Sailing,4.0,12.0,
219000657,Unknown value,0.0,0.0,,Sailing,6.0,34.0,
219003232,Unknown value,0.0,75.5,,Sailing,6.0,29.0,
265591210,Unknown value,0.0,,,Sailing,4.0,13.0,
219023641,Unknown value,0.1,144.0,,Sailing,5.0,15.0,
219024338,Unknown value,0.0,31.4,,Sailing,6.0,29.0,
265591210,Unknown value,0.1,,,Sailing,4.0,13.0,
219029512,Unknown value,0.2,2.5,,Sailing,7.0,13.0,
219025250,Unknown value,0.0,,,Sailing,4.0,13.0,
219023054,Unknown value,0.0,32.0,,Sailing,6.0,22.0,
219003461,Unknown value,0.0,24.3,,Sailing,3.0,9.0,
219013667,Unknown value,7.4,88.3,,Sailing,3.0,11.0,
219026350,Unknown value,0.0,,,Sailing,4.0,10.0,
219001923,Unknown value,5.5,62.1,,Sailing,4.0,11.0,
219029265,Unknown value,5.2,7.3,,Sailing,4.0,14.0,
219001923,Unknown value,5.0,325.5,,Sailing,4.0,11.0,
211408210,Unknown value,0.0,,349.0,Sailing,3.0,9.0,
219001923,Unknown value,5.0,326.1,,Sailing,4.0,11.0,
219029265,Unknown value,5.9,347.8,,Sailing,4.0,14.0,
219001923,Unknown value,5.0,332.4,,Sailing,4.0,11.0,
219029265,Unknown value,6.2,4.6,,Sailing,4.0,14.0,
219001923,Unknown value,5.1,324.5,,Sailing,4.0,11.0,
219001923,Unknown value,5.4,303.3,,Sailing,4.0,11.0,
219029265,Unknown value,6.5,319.6,,Sailing,4.0,14.0,
211408210,Unknown value,3.6,24.2,19.0,Sailing,3.0,9.0,
219029265,Unknown value,7.3,315.9,,Sailing,4.0,14.0,
219029265,Unknown value,7.4,288.0,,Sailing,4.0,14.0,
211408210,Unknown value,4.7,54.4,50.0,Sailing,3.0,9.0,
219029265,Unknown value,6.9,299.9,,Sailing,4.0,14.0,
211408210,Unknown value,5.5,85.0,85.0,Sailing,3.0,9.0,
211408210,Unknown value,2.3,321.6,313.0,Sailing,3.0,9.0,
219023054,Unknown value,9.9,259.4,,Sailing,6.0,22.0,
265771450,Unknown value,0.0,56.4,,Sailing,3.0,13.0,
219027700,Unknown value,0.0,,,Sailing,4.0,11.0,
265621730,Unknown value,0.0,233.9,,Sailing,3.0,10.0,
219014412,Moored,0.0,276.7,,Sailing,9.0,27.0,2.2
219026520,Unknown value,0.0,328.2,,Sailing,8.0,13.0,
219008177,Unknown value,0.0,,,Sailing,4.0,12.0,
219003232,Unknown value,0.0,77.1,,Sailing,6.0,29.0,
219016223,Unknown value,0.0,,,Sailing,4.0,11.0,
219026821,Unknown value,0.0,155.2,,Sailing,4.0,14.0,
219000657,Unknown value,0.0,0.0,,Sailing,6.0,34.0,
219025250,Unknown value,0.0,,,Sailing,4.0,13.0,
219014399,Unknown value,0.0,0.3,,Sailing,4.0,12.0,
219027820,Unknown value,0.1,,,Sailing,4.0,13.0,
219029265,Unknown value,0.0,350.9,,Sailing,4.0,14.0,
219028503,Unknown value,0.2,,,Sailing,4.0,11.0,
219021316,Unknown value,0.0,359.8,,Sailing,4.0,12.0,
265595860,Unknown value,0.0,,,Sailing,4.0,14.0,
219024740,Unknown value,0.0,,,Sailing,5.0,17.0,
265591210,Unknown value,0.1,,,Sailing,4.0,13.0,
219026205,Unknown value,0.6,218.4,,Sailing,5.0,14.0,
219018332,Unknown value,0.0,167.4,,Sailing,3.0,8.0,
219021119,Unknown value,0.0,0.0,,Sailing,5.0,15.0,
219023054,Unknown value,0.0,116.5,,Sailing,6.0,22.0,
219029265,Unknown value,5.6,301.1,,Sailing,4.0,14.0,
219029265,Unknown value,4.8,287.8,,Sailing,4.0,14.0,
219029265,Unknown value,6.5,329.9,,Sailing,4.0,14.0,
219029265,Unknown value,7.7,280.3,,Sailing,4.0,14.0,
219029265,Unknown value,7.4,278.9,,Sailing,4.0,14.0,
219012753,Unknown value,6.5,120.4,,Sailing,4.0,14.0,
219012753,Unknown value,7.8,121.8,,Sailing,4.0,14.0,
219010897,Unknown value,0.0,,,Sailing,4.0,10.0,
219029265,Unknown value,7.7,280.3,,Sailing,4.0,14.0,
219012753,Unknown value,7.7,125.6,,Sailing,4.0,14.0,
219029265,Unknown value,7.7,297.8,,Sailing,4.0,14.0,
219012753,Unknown value,7.9,110.4,,Sailing,4.0,14.0,
219029265,Unknown value,7.6,295.5,,Sailing,4.0,14.0,
219029265,Unknown value,6.9,291.5,,Sailing,4.0,14.0,
219012753,Unknown value,8.7,119.4,,Sailing,4.0,14.0,
