actual,Cargo,Dredging,Fishing,HSC,Law enforcement,Military,Passenger,Pilot,SAR,Tanker,Towing,Tug
Cargo,37047,75,29,0,0,3,77,57,0,2383,12,0
Dredging,183,199,0,0,0,0,0,0,0,89,0,0
Fishing,0,0,2646,0,0,0,0,0,0,3,110,87
HSC,20,0,0,1969,0,0,4,0,0,0,0,0
Law enforcement,0,19,0,0,55,0,0,0,0,0,0,0
Military,102,90,0,0,9,1212,105,0,0,2,0,85
Passenger,936,0,0,0,0,13,2392,0,0,87,0,0
Pilot,0,3,0,0,0,0,0,580,0,0,0,0
SAR,0,0,0,0,0,0,0,28,30,0,0,0
Tanker,5464,67,17,0,0,2,0,0,0,9535,0,0
Towing,0,0,47,0,0,0,0,0,0,0,0,113
Tug,0,0,11,0,0,0,0,41,0,0,16,1114
